@,Latitude,Longitude,Time,Tweet,Media,Tags0,Tags1,Tags2,Tags3,Tags4,Tags5,Tags6,Tags7,Tags8,Tags9,Tags10,Tags11,Tags12,Tags13
@BetDealer,," ",Time: Wed Jan 13 00:13:06 GMT 2016,Join #betfred here > https://t.co/7feRfLxoxB < for Bet £10 get £30 in #midweekcoupon #afc #lfc #mufc# nufc https://t.co/iuilp079NY,0,betfred,midweekcoupon,afc,lfc,,,,,,,,,,
@NathanEvans19,," ",Time: Wed Jan 13 00:13:05 GMT 2016,"RT @LFCXtra: OTD in 2006, @DanielAgger signed for #LFC - 26 stunning images from his Reds career: https://t.co/zeNNAKCt6J https://t.co/M9rf…",1,LFC,,,,,,,,,,,,,
@fernandoboy07,," ",Time: Wed Jan 13 00:12:50 GMT 2016,RT @Anything_LFC: I would rather have Caulker than have to play Enrique at the back again plus its only a loan deal #LFC,,LFC,,,,,,,,,,,,,
@SkUnited17,," ",Time: Wed Jan 13 00:12:45 GMT 2016,RT @HLNinEngeland: 5 more years. Everything has been agreed. Simon Mignolet is ready to sign a new deal at Liverpool until 2021. #lfc https…,3,lfc,,,,,,,,,,,,,
@MFLiverpool,," ",Time: Wed Jan 13 00:12:44 GMT 2016,Liverpool new boy Steve Caulker pictured in first training session ahead of Arsenal clash https://t.co/miGRTL8vNU #lfc,,lfc,,,,,,,,,,,,,
@ar_j09,," ",Time: Wed Jan 13 00:12:43 GMT 2016,"RT @LFC: Happy 22nd birthday, Emre Can! #LFC https://t.co/Bmj8ZYO9NY",5,LFC,,,,,,,,,,,,,
@14henderson2012,," ",Time: Wed Jan 13 00:12:39 GMT 2016,RT @LFC: #LFC have completed the signing of Steven Caulker on loan from Queens Park Rangers until the end of the season. https://t.co/jacWO…,6,LFC,,,,,,,,,,,,,
@HelHots,," ",Time: Wed Jan 13 00:12:32 GMT 2016,RT @TitanBet: RT and Follow for your chance to win a shirt signed by #LFC legend John Barnes! #win https://t.co/4nU0u0Kz32 https://t.co/SLk…,7,LFC,win,,,,,,,,,,,,
@LFCraj,," ",Time: Wed Jan 13 00:12:29 GMT 2016,RT @AnfieldHQ: Klopp tells Liverpool players they have until May to prove themselves. #lfc (Andy Hunter) https://t.co/JzMoCOTT75,,lfc,,,,,,,,,,,,,
@jamesyboy8,," ",Time: Wed Jan 13 00:12:19 GMT 2016,RT @SSN401: BREAKING: Liverpool Football Club have announced that @DanielSturridge has been 'Put Down'  #SSNHQ #LFC,,SSNHQ,LFC,,,,,,,,,,,,
